"ProjectID","EPGeoName","lat","lng","Ward","Constituency","County","Project Cost Yearly Breakdown (KES)","Total Project Cost (KES)","Approval Date ","Start Date (Planned)","Start Date (Actual)","End Date (Planned)","End Date (Actual)","Duration","Duration (Months)","Project Title","Project Description","Project Objectives","NG Programme","Vision 2030 Flagship Ministry","Vision 2030 Flagship Project/Programme","Implementing Agency","Implementation Status","MTEF Sector","Work Plan Progress (%) "
"2012/053676","Garissa",-0.487,40.183,"NANIGHI","FAFI","GARISSA",200000000,220000000,"04/15/2009 12:00:00 AM","07/01/2009 12:00:00 AM","11/08/2009 12:00:00 AM","06/23/2014 12:00:00 AM",,"82 months 9 days","82 months","Armed Violence And Small Arms Reduction In Pastoralist Communities In Kenya","The main purpose of the project is to develop the capacity of national and local government to effectively prevent and reduce level of armed violence and proliferation of small arms and light weapons in order to nurture peace and enhance socio-economic d","The project has six objectives namely:
1. To develop comprehensive strategies and programmes on armed violence and small arms reduction in pastoralist areas
2. Top develop capacity of national and local government, national focal point, district peace co","071300 - Special Initiatives","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
"2012/053970","Garissa County",-0.487,40.183,"NANIGHI","FAFI","GARISSA",17361252,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2016 12:00:00 AM",,"95 months 5 days","95 months","Nomadic Education","Strategies and support geared towards access, retention quality education with a focus on the girl child among nomadic communities especially in the ASAL areas.","Increase GER for ECD in ASAL districts. Increase primary education GER in ASAL districts. Increase primary completion rate and transition to secondary school.","050100 - Primary Education","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 106 - Ministry of Education; 1061 - State Department for Education","Ongoing","Education",0
"2010/051747","Garissa County",-0.487,40.183,"NANIGHI","FAFI","GARISSA",,,,,,,,,,,,,,,,,,,0
"2011/053184","Nakuru District",-0.484,36.171,"MBARUK/EBURU","GILGIL","NAKURU",7440476161,8928571429,"05/23/2011 12:00:00 AM","08/23/2011 12:00:00 AM",,"06/30/2016 12:00:00 AM","03/09/2018 12:00:00 AM","84 months 11 days","84 months","Kenya Informal Settlement Improvement Project (KISIP)","This is a World Bank funded project covering 15 selected municipalities that intends to Strengthen institutions and programme management; Enhance security of tenure; Invest in infrastructure and service delivery; and Plan for urban Growth.","To improve living conditions in informal settlement in selected municipalities in Kenya","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2012/053311","Nakuru District",-0.484,36.171,"MBARUK/EBURU","GILGIL","NAKURU",7999920,7999920,"02/01/2012 12:00:00 AM","01/01/2012 12:00:00 AM",,"10/01/2014 12:00:00 AM",,"32 months 30 days","32 months","Support For Capacity Development Of National Integrated Monitoring And Evaluation System","The project focuses support for development and operationalisation of the National Integrated Monitoring and Evaluation System.  It includes training on E-promis, report writing and dissemination of M&E Results to key users especially in National Integra","Improved coordination, Monitoring implementation & evaluation of gender responsive population & reproductive Health policies and programmes","070800 - Monitoring and Evaluation Services","Unspecified","Unspecified","103 - Ministry of Devolution and Planning","Completed","Public Administration and International Relations (PAIR)",0
"2010/052182","Tende",-0.483,34.617,"KAGAN","RANGWE","HOMA BAY",12801146146,22068583333,"08/27/2009 12:00:00 AM","05/01/2010 12:00:00 AM",,"09/30/2015 12:00:00 AM",,"64 months 29 days","64 months","Kibuon And Tende Integrated Land And Water Management Project","The proposed Project is aimed at improving land and water management in the Kibuon and Tende catchments areas through increased community participation and iniatiation of the water quality and quantity through the promotion of sustainable agricultural an","To enhance sustainable environmental management through improved land and water management in river catchments.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.","Ongoing","Unspecified",0
"2010/051624","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",20090000000,20090000000,"07/01/2012 12:00:00 AM","07/29/2013 12:00:00 AM","01/01/2013 12:00:00 AM","06/30/2018 12:00:00 AM",,"59 months 1 day","59 months","Loyangalani-Suswa Transmission Line","The project entails the construction of power transmission line to evacuate power from the Lake Turkana Wind Power Plant to the National grid to supplement the hydropower energy the country is currently relying on.","Improve reliability of power in the country by diversifying generation; meet increasing demand in the country.","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",10.4
"2010/052761","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",,10000000,"09/30/2009 12:00:00 AM","09/01/2009 12:00:00 AM",,"08/31/2015 12:00:00 AM",,"71 months 16 days","71 months","Kimulot Tree Seedling Production Center","Kimulot farm, an area found within Sondu Miriu Region and in close proximity to the South West Mau forest","1.To restore the Sondu Miriu river catchment to their original form prior to deforestation and/or human intervation.
2. To promote environmental conservation awareness within the catchment.
3.To maintain optimal river channels and riparian habitat divers","100200 - Environment Management and Protection","Unspecified","Unspecified","131 - MRDA - Lake Basin Dev. Authority","Ongoing","Environmental Protection, Water and Natural Resources",0
"2012/053346","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",157000000,157000000,"03/31/2011 12:00:00 AM","07/02/2012 12:00:00 AM",,"06/30/2014 12:00:00 AM",,"23 months 28 days","23 months","Road Rehabilitation Maai Mahiu- Narok Road (199 66 458)","The project consists of the rehabilitation and upgrading of the B3 national trunk road between Maai Mahiu trading centre and the town of Narok. Due to increased traffic volumes in connection with the completion of the road section between Amala River and","The overall objective of the project is to contribute to improving the socio-economic living conditions of the population in the project region through rehabilitation of the Maai Mahiu- Narok Highway.","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2012/053362","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",18699186991710,37398373983740,"06/25/2004 12:00:00 AM","09/25/2004 12:00:00 AM",,"06/30/2015 12:00:00 AM","09/04/2019 12:00:00 AM","129 months 5 days","129 months","Northern Corridor Transport Improvement Project (NCTIP)","Rehabilitation of Northern Corridor and Emergency Restoration of damaged public assets.","To enhance efficiency and effectiveness of Kenya's transport sector.","020200 - Road Transport","Ministry of Transport and Infrastructure","Lamu Corridor Development.","109 - Ministry of Transport and Infrastructure; 153 - MOT - Kenya Airports Authority; 154 - MOT - Kenya Civil Aviation Authority; 1091 - State Department of Infrastructure; 1092 - State Department of Transport","Ongoing","Energy, Infrastructure and ICT",0
"2012/053390","Nakuru County",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",11115200000,13894000000,"12/10/2010 12:00:00 AM","03/05/2013 12:00:00 AM",,"06/30/2018 12:00:00 AM",,"63 months 25 days","63 months","Olkaria Lessos Kisumu Power Lines Construction Project","the project entails construction works for transmission lines, expansion of substations and consulting services.","To enhance efficiency, reliability and security of electric power supply in Kenya by constructing a higher voltage transmission line systems, by improving the efficiency of the transmission and transmitting the renewable energy, contribute to mitigating","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",8.75
"2010/051742","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",,,,,,,,,,,,,,,,,,,0
"2010/051743","Nakuru",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",,,,,,,,,,,,,,,,,,,0
"2011/053160","Nakuru County",-0.459,36.08,"BARUT","NAKURU TOWN WEST","NAKURU",,,,,,,,,,,,,,,,,,,0
"2010/052219","Garissa",-0.453,39.646,"TOWNSHIP","GARISSA TOWNSHIP","GARISSA",9092310,19700000,"10/14/2004 12:00:00 AM","08/07/2006 12:00:00 AM","01/07/2008 12:00:00 AM","12/31/2014 12:00:00 AM",,"100 months 24 days","100 months","Capacity Building For Kenyan Refugee And Asylum System","-TO ENAHANCE THE CAPACITY OF THE DEPARTMENT OF REFUGEES AFFAIRS
-PRODUCE A NATIONAL STRATEGIC PLAN FOR HANDLING REFUGEES FROM 2006-2020
-ENACT THE REFUGEE BILL BY PARLIAMENT OF KENYA
-ENACT A STRATEGIC PLAN FOR TRANSFER OF THE RESPONSIBILITY FOR REFUGEE","GOVERNMENT PROTECTION OF ASYLUM SEEKERS AND REFUGEES IN KENYA IN COMPLIANCE WITH THE COUNTRY'S INTERNATIONAL OBLIGATIONS.","060200 - National Government Administration and Field Services","Unspecified","Unspecified","102 - Ministry of Interior and Coordination of National Government","Ongoing","Public Administration and International Relations (PAIR)",0
"2010/051790","Marindas Forest, Which Is Part Of Eastern Mau",-0.453,35.864,"NESSUIT","NJORO","NAKURU",147872928,359198895,"04/14/2009 12:00:00 AM","01/01/2010 12:00:00 AM","01/07/2010 12:00:00 AM","06/30/2014 12:00:00 AM",,"47 months 29 days","47 months","Environmental Policy And Coordination (Nrmp)","The main focus of the NRM programme is reduction of poverty through sustainable management of natural resources. The programme will support the demand from community level for technical services from both public and private service providers, and support","To strengthen an institutional framework for addressing environmental policy, planning and coordination.","100100 - General Administration Planning and Support Services","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources","Ongoing","Environmental Protection, Water and Natural Resources",0
"2010/051747","Garissa",-0.453,39.646,"TOWNSHIP","GARISSA TOWNSHIP","GARISSA",,,,,,,,,,,,,,,,,,,0
"2012/053353","Garissa",-0.45,39.646,"GALBET","GARISSA TOWNSHIP","GARISSA",7751937985,7751937984,"05/04/2010 12:00:00 AM","06/28/2010 12:00:00 AM",,"08/30/2015 12:00:00 AM","03/09/2018 12:00:00 AM","98 months 5 days","98 months","Kenya Municipal Programme (KMP) Phase Ii","To strengthen local governance and improve service delivery in selected municipalities.","To Strenghen local Governance and improve servise delivery in selected municipalities","010500 - Urban and Metropolitan Development","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2011/053129","Tetu West",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",816430640,4082153280,"07/05/2010 12:00:00 AM","10/05/2010 12:00:00 AM",,"10/05/2013 12:00:00 AM",,"36 months 0","36 months","Roads 2000 Phase Two Project","The Roads 2000 Phase Two Project entails the following components; 
Component 1- Physical works
Rehabilitation and maintenance works for rural roads in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia regions.Regions; Upgrading of 1083 km of","The objectives of this project are to:

??????Improve the unpaved rural road network in Murang??????a, Nyandarua, Kiambu, Nyeri, Kirinyaga and Laikipia Regions 

??????Strengthen the system for management and maintenance of roads, using labour-based methods, loca","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Unspecified",0
"2012/053864","Tetu West District",-0.436,36.843,"DEDAN KIMANTHI","TETU","NYERI",3839285715,6142857143,"05/23/2012 12:00:00 AM","07/02/2012 12:00:00 AM",,"05/23/2020 12:00:00 AM",,"94 months 21 days","94 months","Upper Tana Catchment Natural Resource Management Project (Utanrmp)","The project will benefit smallholder crop and livestock farmers, agro-pastrolists,fishers, rural traders and community groups involved in natural resourse management and income generating activities in the upper Tana River catchment through community emp","Increse sustainable food production and incomes for about 205,000 poor rural households in the project area.","100400 - Water Resources Management","Ministry of Environment Water and Natural Resources","Water Resource Development for the Attainment of Adequacy in Quality and Quantity.","110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.","Ongoing","Environmental Protection, Water and Natural Resources",0
"2010/052333","Nyeri District",-0.42,36.95,"RWARE","NYERI TOWN","NYERI",,73529412,"10/09/2006 12:00:00 AM","05/07/2007 12:00:00 AM",,"12/31/2013 12:00:00 AM",,"79 months 24 days","79 months","Natural Resources Management Project (NRM)","water resource management and irrigation
management of forest resources
livelihood investiments","the objective of the project is to enhance the recipient institutional capacity to manage water and forestresources, reduce the incidence and severity of water shocks  such as drought, flood and water shortage in river catchments and improve the  livelih","100400 - Water Resources Management; 100300 - Natural Resources Conservation and Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources","Ongoing","Environmental Protection, Water and Natural Resources",0
"2011/053184","Nyeri District",-0.42,36.95,"RWARE","NYERI TOWN","NYERI",7440476161,8928571429,"05/23/2011 12:00:00 AM","08/23/2011 12:00:00 AM",,"06/30/2016 12:00:00 AM","03/09/2018 12:00:00 AM","84 months 11 days","84 months","Kenya Informal Settlement Improvement Project (KISIP)","This is a World Bank funded project covering 15 selected municipalities that intends to Strengthen institutions and programme management; Enhance security of tenure; Invest in infrastructure and service delivery; and Plan for urban Growth.","To improve living conditions in informal settlement in selected municipalities in Kenya","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/051707","Tana/Athi Water Service Board",-0.419,36.948,"RWARE","NYERI TOWN","NYERI",,,,,,,,,,,,,,,,,,,0
"2012/053682","Nanighi Primary School",-0.417,39.648,"GALBET","GARISSA TOWNSHIP","GARISSA",405446429,405446429,"01/18/2012 12:00:00 AM","03/01/2012 12:00:00 AM","02/07/2012 12:00:00 AM","12/30/2016 12:00:00 AM","02/04/2017 12:00:00 AM","57 months 0","57 months","Restoration And Stabilization Of Livelihoods For Drought Affected And Host Communities In Turkana And Garissa Districts","The project focuses on the worst drought and conflict affected and neglected areas of Northern Rift Valley and North Eastern Provincces of Kenya which host the largest number of refugees. The specific focus districts are Turkana and Garissa Districts.","Recovery from drought impacct and resilience capacities enhanced at community county national levels especially targeting women and youth groups","071300 - Special Initiatives","Unspecified","Unspecified","103 - Ministry of Devolution and Planning","Ongoing","Unspecified",0
"2012/053353","Nyeri",-0.416,36.951,"RWARE","NYERI TOWN","NYERI",7751937985,7751937984,"05/04/2010 12:00:00 AM","06/28/2010 12:00:00 AM",,"08/30/2015 12:00:00 AM","03/09/2018 12:00:00 AM","98 months 5 days","98 months","Kenya Municipal Programme (KMP) Phase Ii","To strengthen local governance and improve service delivery in selected municipalities.","To Strenghen local Governance and improve servise delivery in selected municipalities","010500 - Urban and Metropolitan Development","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2011/053184","Kericho",-0.411,37.023,"KIGANJO/MATHARI","NYERI TOWN","NYERI",7440476161,8928571429,"05/23/2011 12:00:00 AM","08/23/2011 12:00:00 AM",,"06/30/2016 12:00:00 AM","03/09/2018 12:00:00 AM","84 months 11 days","84 months","Kenya Informal Settlement Improvement Project (KISIP)","This is a World Bank funded project covering 15 selected municipalities that intends to Strengthen institutions and programme management; Enhance security of tenure; Invest in infrastructure and service delivery; and Plan for urban Growth.","To improve living conditions in informal settlement in selected municipalities in Kenya","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2012/053682","Fafi",-0.408,40.251,"FAFI","FAFI","GARISSA",405446429,405446429,"01/18/2012 12:00:00 AM","03/01/2012 12:00:00 AM","02/07/2012 12:00:00 AM","12/30/2016 12:00:00 AM","02/04/2017 12:00:00 AM","57 months 0","57 months","Restoration And Stabilization Of Livelihoods For Drought Affected And Host Communities In Turkana And Garissa Districts","The project focuses on the worst drought and conflict affected and neglected areas of Northern Rift Valley and North Eastern Provincces of Kenya which host the largest number of refugees. The specific focus districts are Turkana and Garissa Districts.","Recovery from drought impacct and resilience capacities enhanced at community county national levels especially targeting women and youth groups","071300 - Special Initiatives","Unspecified","Unspecified","103 - Ministry of Devolution and Planning","Ongoing","Unspecified",0
"2011/053187","Kipipiri",-0.395,36.488,"KIPIPIRI","KIPIPIRI","NYANDARUA",2985074702,5970149254,"09/06/2009 12:00:00 AM","12/06/2009 12:00:00 AM","06/12/2009 12:00:00 AM","02/12/2016 12:00:00 AM","02/04/2017 12:00:00 AM","87 months 27 days","87 months","Kenya Agricutural Productivity & Agribusiness Project (KAPAP)","To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.","To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya","010900 - Agribusiness and Information Management","Ministry of Agriculture, Livestock and Fisheries","Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions","116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/052761","Sondu Miriu River Catchment",-0.39,35.014,"KAPLELARTET","SIGOWET/SOIN","KERICHO",,10000000,"09/30/2009 12:00:00 AM","09/01/2009 12:00:00 AM",,"08/31/2015 12:00:00 AM",,"71 months 16 days","71 months","Kimulot Tree Seedling Production Center","Kimulot farm, an area found within Sondu Miriu Region and in close proximity to the South West Mau forest","1.To restore the Sondu Miriu river catchment to their original form prior to deforestation and/or human intervation.
2. To promote environmental conservation awareness within the catchment.
3.To maintain optimal river channels and riparian habitat divers","100200 - Environment Management and Protection","Unspecified","Unspecified","131 - MRDA - Lake Basin Dev. Authority","Ongoing","Environmental Protection, Water and Natural Resources",0
"2010/052474","Njoro",-0.381,35.928,"NJORO","NJORO","NAKURU",70564139,70564139,"05/01/2009 12:00:00 AM","05/01/2009 12:00:00 AM","01/09/2009 12:00:00 AM","06/30/2016 12:00:00 AM",,"85 months 29 days","85 months","Post Elections Violence Livelihoods Recovery Project","This project will aid in  post election violence recovery and intergration process through the restoration of livelihoods in affected areas of the greater Nakuru, kisumu, transnzoia and uasingishu districts respectively.This will contribute to the broade","1. To enhance livelihoods restoration initiatives for social economic recovery for affected communities.
2. To expand livelihoods opportunities and linkages to ongoing national livelihood programmes","071300 - Special Initiatives","Unspecified","Unspecified","103 - Ministry of Devolution and Planning","Ongoing","Unspecified",0
"2011/053187","Njoro",-0.381,35.928,"NJORO","NJORO","NAKURU",2985074702,5970149254,"09/06/2009 12:00:00 AM","12/06/2009 12:00:00 AM","06/12/2009 12:00:00 AM","02/12/2016 12:00:00 AM","02/04/2017 12:00:00 AM","87 months 27 days","87 months","Kenya Agricutural Productivity & Agribusiness Project (KAPAP)","To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.","To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya","010900 - Agribusiness and Information Management","Ministry of Agriculture, Livestock and Fisheries","Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions","116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
